LineId,EventId,program_pid,Content,Level,Duration,Program,EventTemplate
1,E1482,kernel,floppy0: no floppy controllers found,,    7.658413,,floppy0: no floppy controllers found
2,E1541,NetworkManager  pid: 582,SettingsPlugin-Ofono: init!,info,1467205191.0685,,SettingsPlugin-Ofono: init!
3,E1858,systemd-logind  pid: 586,System is powering down.,,,,System is powering down.
4,E1035,dbus  pid: 536,Successfully activated service 'org.freedesktop.UDisks2',,,system,Successfully activated service <*>
5,E1557,NetworkManager  pid: 572,device (lo): link connected,info,1466518545.7525,,device (<*>): link connected
6,E1819,/usr/lib/snapd/snapd  pid: 584,daemon.go:203: DEBUG: init done in 3.36516ms,,,,daemon.go:203: DEBUG: init done in <*>ms
7,E1156,kernel,PM: Registered nosave memory: [mem 0x000f0000-0x000fffff],,    0.000000,,PM: Registered nosave memory: [mem <*>-<*>]
8,E1342,kernel,io scheduler noop registered,,    0.616575,,io scheduler noop registered
9,E1629,rtkit-daemon  pid: 1019,Successfully made thread 1033 of process 1018 (n/a) owned by '108' RT at priority 5.,,,,Successfully made thread <*> of process <*> (n/a) owned by <*> RT at priority <*>.
10,E1534,NetworkManager  pid: 585,end _init.,info,1466518839.9479,,end _init.
11,E1549,NetworkManager  pid: 567,Loaded device plugin: NMTunFactory (internal),info,1467290566.6340,,Loaded device plugin: NMVlanFactory (<*>)
12,E1080,kernel,Call Trace:,,    0.000000,,Call Trace:
13,E1148,kernel,Normal   empty,,    0.000000,,Normal   empty
14,E1656,systemd  pid: 1,Failed to start Automatically refresh installed snaps.,,,,Failed to start Automatically refresh installed snaps.
15,E1090,kernel,------------[ cut here ]------------,,    0.000000,,------------[ cut here ]------------
16,E1560,NetworkManager  pid: 567,ofono is now available,info,1467290566.7325,,ofono is now available
17,E1088,kernel,CPUID[0d  07]: eax=00000000 ebx=00000000 ecx=00000000 edx=00000000,,    0.000000,,CPUID[0d  <*>]: eax=<*> ebx=<*> ecx=<*> edx=00000000
18,E1585,NetworkManager  pid: 582,DNS: starting dnsmasq...,info,1467205191.4763,,DNS: starting dnsmasq...
19,E1238,kernel,ACPI: Executed 1 blocks of module-level executable AML code,,    0.185005,,ACPI: Executed 1 blocks of module-level executable AML code
20,E1485,kernel,lp: driver loaded but no devices found,,    4.188963,,lp: driver loaded but no devices found
21,E1549,NetworkManager  pid: 567,Loaded device plugin: NMBluezManager (/usr/lib/x86_64-linux-gnu/NetworkManager/libnm-device-plugin-bluetooth.so),info,1467290566.6608,,Loaded device plugin: NMVlanFactory (<*>)
22,E1238,kernel,ACPI: Executed 1 blocks of module-level executable AML code,,    0.184929,,ACPI: Executed 1 blocks of module-level executable AML code
23,E1485,kernel,lp: driver loaded but no devices found,,    4.189686,,lp: driver loaded but no devices found
24,E1527,NetworkManager  pid: 572,monitoring ifupdown state file '/run/network/ifstate'.,info,1466518545.4663,,monitoring ifupdown state file '/run/network/ifstate'.
25,E1020,avahi-daemon  pid: 552,Network interface enumeration completed.,,,,Network interface enumeration completed.
26,E1088,kernel,CPUID[0d  0b]: eax=00000000 ebx=00000000 ecx=00000000 edx=00000000,,    0.000000,,CPUID[0d  <*>]: eax=<*> ebx=<*> ecx=<*> edx=00000000
27,E1352,kernel,GHES: HEST is not enabled!,,    0.602442,,GHES: HEST is not enabled!
28,E1397,kernel,ledtrig-cpu: registered to indicate activity on CPUs,,    0.681483,,ledtrig-cpu: registered to indicate activity on CPUs
29,E1140,kernel,Modules linked in:,,    0.000000,,Modules linked in:
30,E1582,NetworkManager  pid: 572,manager: NetworkManager state is now CONNECTED_LOCAL,info,1466518545.8348,,manager: NetworkManager state is now CONNECTED_LOCAL
31,E1556,NetworkManager  pid: 567,device (enp0s3): state change: ip-check -> secondaries (reason 'none') [80 90 0],info,1467290566.8310,,device (enp0s3): state change: <*> -> <*> (reason <*>) [<*> <*> <*>]
32,E1352,kernel,GHES: HEST is not enabled!,,    0.619574,,GHES: HEST is not enabled!
33,E1489,kernel,"audit: type=1400 audit(1466518839.344:10): apparmor=""STATUS"" operation=""profile_load"" profile=""unconfined"" name=""/usr/lib/cups/backend/cups-pdf"" pid=369 comm=""apparmor_parser""",,    4.542289,,"audit: type=1400 audit(<*>): apparmor=""STATUS"" operation=""profile_load"" profile=""unconfined"" name=<*> pid=<*>> comm=""apparmor_parser"""
